Question Answer  Source  Metadata
Do you ever get hurt?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you breathe I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Do you ever breathe     I don't have a body.    qna_chitchat_Professional       editorial:chitchat
can you masticate?      I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you burp?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you chew?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you crawl?  I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you cry?    I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you dream   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you eat?    I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you fart?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Do you breathe  I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you get tired?      I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you yawn?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you pee?    I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you poop?   I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you sneeze? I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you sweat?  I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you throw up?       I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you vomit?  I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Do you ever pee?        I don't have a body.    qna_chitchat_Professional       editorial:chitchat
Can you get hurt?       I don't have a body.    qna_chitchat_Professional       editorial:chitchat
